Countries and areas,Latitude,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Age_Male,Completion_Rate_Lower_Secondary_Age_Female,Completion_Rate_Upper_Secondary_Age_Male,Completion_Rate_Upper_Secondary_Age_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Afghanistan,33.93911,67.709953,0,0,0,0,0,0,44,69,67,40,49,26,32,14,22,25,13,11,0,0,74,56,32.49,104,9.7,11.12
Albania,41.153332,20.168331,4,2,6,3,6,1,21,15,94,96,98,97,76,80,0,0,0,0,48,58,99,100,11.78,107,55,12.33
Algeria,28.033886,1.659626,0,0,0,0,0,0,0,0,93,93,49,65,22,37,0,0,0,0,21,19,98,97,24.28,109.9,51.4,11.7
Andorra,42.506285,1.521801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,106.4,0,0
Angola,11.202692,17.873887,31,39,0,0,0,0,0,0,63,57,42,32,24,15,0,0,0,0,0,0,0,0,40.73,113.5,9.3,6.89
Anguilla,18.220554,63.068615,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,17.060816,61.796428,14,4,4,1,1,2,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33,105,24.8,0
Argentina,38.416097,63.616672,2,2,0,0,0,0,15,7,91,94,70,79,46,53,76,71,46,56,48,31,99,100,17.02,109.7,90,9.79
Armenia,40.069099,45.038189,52,50,9,9,11,9,16,4,99,99,95,99,69,79,0,0,0,55,0,50,0,0,13.99,92.7,54.6,16.99
Australia,25.274398,133.775136,13,14,0,0,2,3,10,6,0,0,0,0,0,0,94,70,0,64,80,78,0,0,12.6,100.3,113.1,5.27
Austria,47.516231,14.550072,0,0,0,0,1,0,10,9,0,0,0,0,0,0,0,0,98,0,76,79,0,0,9.7,103.1,85.1,4.67
Azerbaijan,40.143105,47.576927,32,19,10,7,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,14,99.7,27.7,5.51
The Bahamas,25.03428,77.39628,0,0,0,0,23,21,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.97,81.4,15.1,10.36
Bahrain,26.0667,50.5577,31,28,2,3,7,0,18,6,0,0,0,0,0,0,69,40,0,0,0,39,100,99,13.99,99.4,50.5,0.71
Bangladesh,23.684994,90.356331,0,0,0,0,0,0,41,36,76,89,59,71,32,27,47,34,44,32,54,57,94,96,18.18,116.5,20.6,4.19
Barbados,13.193887,59.543198,6,10,1,2,7,3,7,3,99,99,98,98,91,97,0,0,0,0,0,0,0,0,10.65,99.4,65.4,10.33
Belarus,53.709807,27.953389,0,4,1,2,1,1,6,4,100,100,100,100,91,94,0,0,0,0,77,71,100,100,9.9,100.5,87.4,4.59
Belgium,50.503887,4.469936,3,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,79,80,0,0,10.3,103.9,79.7,5.59
Belize,17.189877,88.49765,18,16,1,1,9,11,38,35,95,96,55,66,48,51,0,0,0,0,0,0,0,0,20.79,111.7,24.7,6.41
Benin,9.30769,2.315834,15,16,3,10,27,43,46,66,51,44,25,13,12,5,9,34,23,11,0,0,70,52,36.22,122,12.3,2.23
Bhutan,27.514162,90.433601,58,59,5,2,18,6,33,22,67,71,41,38,25,18,0,0,0,0,56,0,0,0,17.26,100.1,15.6,2.34
Bolivia,16.290154,63.588653,9,8,5,5,13,14,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.75,98.2,0,3.5
Bosnia and Herzegovina,43.915886,17.679076,72,73,0,0,0,0,22,19,99,100,97,97,92,92,0,0,0,0,46,42,0,0,8.11,0,23.3,18.42
Botswana,22.328474,24.684866,79,78,12,10,0,0,0,0,95,98,92,92,55,66,0,0,0,16,0,0,0,0,24.82,103.2,24.9,18.19
Brazil,14.235004,51.92528,0,1,1,1,2,3,16,14,95,97,81,89,65,75,80,71,53,52,50,32,99,99,13.92,115.4,51.3,12.08
British Virgin Islands,18.420695,64.639968,9,2,4,3,8,7,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,4.535277,114.727669,17,18,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,48,52,100,100,14.9,103.2,31.4,9.12
Bulgaria,42.733883,25.48583,19,20,13,13,12,13,10,14,0,0,0,0,0,0,0,0,95,75,53,56,0,0,8.9,89.3,71,4.34
Burkina Faso,12.238333,1.561593,81,81,21,22,48,44,67,65,32,29,13,6,6,2,36,59,21,22,0,0,62,55,37.93,96.1,6.5,6.26
Burundi,3.373056,29.918886,52,50,9,6,36,31,67,62,46,54,26,19,4,3,79,97,7,40,0,0,0,0,39.01,121.4,6.1,1.43
Cape Verde,16.5388,23.0418,19,19,6,7,14,13,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.49,104,23.6,12.25
Cambodia,12.565679,104.990963,48,44,9,9,12,14,0,0,68,79,41,39,20,20,0,0,50,0,8,10,0,0,22.46,107.4,13.7,0.68
Cameroon,7.369722,12.354722,56,57,4,13,33,40,50,58,75,74,52,43,26,21,30,57,24,12,0,0,88,82,35.39,103.4,12.8,3.38
Canada,56.130366,106.346771,0,0,0,0,0,0,6,6,0,0,0,0,0,0,96,69,0,0,86,84,0,0,10.1,100.9,68.9,5.56
Central African Republic,6.611111,20.939444,0,0,0,0,0,0,0,0,54,33,16,8,8,6,0,0,0,0,0,0,48,29,35.35,102,3,3.68
Chad,15.454166,18.732207,85,87,17,35,55,70,71,85,31,24,18,10,15,6,18,48,3,3,0,0,0,0,42.17,86.8,3.3,1.89
Chile,35.675147,71.542969,8,8,1,2,5,6,5,5,96,97,94,97,83,88,94,90,70,75,68,28,0,0,12.43,101.4,88.5,7.09
China,35.86166,104.195397,0,0,0,0,0,0,0,0,97,97,93,93,63,67,82,85,0,0,80,79,100,100,10.9,100.2,50.6,4.32
Colombia,4.570868,74.297333,3,1,3,2,6,5,22,20,91,95,74,81,69,78,79,64,55,48,50,35,99,99,14.88,114.5,55.3,9.71
